_truncate	private helper	mixed	src=8 test=1	src/app/devhub/cmd_jira.spl;src/app/devhub/cmd_outlook.spl;src/app/devhub/cmd_wiki.spl;src/app/itf/cmd_jira.spl;src/app/itf/cmd_outlook.spl;src/app/itf/cmd_wiki.spl;src/app/llm_caret/tools.spl;src/app/office/slides/render.spl
_u16_be	private helper	mixed	src=3 test=4	src/os/tls12/tls12_bytes.spl;src/os/tls13/handshake13.spl;src/os/tls13/psk.spl;test/01_unit/os/tls13/new_session_ticket_spec.spl;test/01_unit/os/tls13/psk_0rtt_spec.spl;test/unit/os/tls13/new_session_ticket_spec.spl;test/unit/os/tls13/psk_0rtt_spec.spl
_unlock	private helper	src-only	src=4 test=0	src/os/kernel/loader/executable_crypto_authority.spl;src/os/kernel/loader/guest_toolchain_execution_authority.spl;src/os/kernel/scheduler/process_execution_observation.spl;src/os/kernel/scheduler/process_stdout_capture.spl
_unlock_v1	private helper	src-only	src=4 test=0	src/os/kernel/fs/fat32_executable_identity_owner_v1.spl;src/os/kernel/loader/clang_filesystem_pipeline_owner_v1.spl;src/os/kernel/loader/executable_online_reattestation_owner_v1.spl;src/os/services/vfs/vfs_immutable_include_tree_state_v1.spl
_write_pte	private helper	src-only	src=7 test=0	src/os/kernel/arch/arm64/paging.spl;src/os/kernel/arch/riscv32/paging.spl;src/os/kernel/arch/riscv64/paging.spl;src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_xtime	private helper	src-only	src=4 test=0	src/os/crypto/aes128_gcm.spl;src/os/crypto/aes_gcm.spl;src/os/crypto/ocb3.spl;src/os/services/nvfs/core/crypto/aes128_gcm.spl
arange	public function	src-only	src=2 test=0	src/lib/nogc_async_mut/ndarray/ndarray_generators.spl;src/lib/nogc_sync_mut/src/tensor/factory.spl
argb	public function	src-only	src=2 test=0	examples/06_io/ui/mini_html_render.spl;examples/06_io/ui/wm_graphics_2d_showcase_gui.spl;examples/06_io/ui/wm_web_standards_showcase_gui.spl;examples/06_io/ui/wm_widget_showcase_gui.spl;src/lib/common/render_scene/scene.spl;src/lib/gc_async_mut/gpu/browser_engine/simple_web_html_layout_renderer_foundation.spl
artifact_id	public function	src-only	src=2 test=0	src/lib/common/compute/placement_contracts/storage.spl;src/lib/common/structural/identity/entity_id.spl
assert_false	public function	mixed	src=7 test=2	src/compiler/90.tools/sffi_gen/test_gen.spl;src/compiler_rust/lib/std/src/testing/helpers.spl;src/lib/gc_async_mut/src/testing/helpers.spl;src/lib/nogc_async_mut/src/testing/helpers.spl;src/lib/nogc_async_mut_noalloc/baremetal/common/test_harness.spl;src/lib/nogc_sync_mut/spec.spl;src/lib/nogc_sync_mut/src/testing/helpers.spl;test/01_unit/lib/std/concurrency/concurrency_spec.spl
assert_true	public function	mixed	src=7 test=2	src/compiler/90.tools/sffi_gen/test_gen.spl;src/compiler_rust/lib/std/src/testing/helpers.spl;src/lib/gc_async_mut/src/testing/helpers.spl;src/lib/nogc_async_mut/src/testing/helpers.spl;src/lib/nogc_async_mut_noalloc/baremetal/common/test_harness.spl;src/lib/nogc_sync_mut/spec.spl;src/lib/nogc_sync_mut/src/testing/helpers.spl;test/01_unit/lib/std/concurrency/concurrency_spec.spl
atomic_bool_new	public function	src-only	src=4 test=0	src/app/io/debug_stubs.spl;src/lib/nogc_sync_mut/atomic.spl;src/lib/nogc_sync_mut/io/debug_stubs.spl;src/lib/nogc_sync_mut/sffi/concurrent.spl
atomic_i64_new	public function	src-only	src=3 test=0	src/app/io/debug_stubs.spl;src/lib/nogc_sync_mut/atomic.spl;src/lib/nogc_sync_mut/io/debug_stubs.spl
atomic_read	public function	mixed	src=3 test=2	src/lib/nogc_async_mut/db_atomic.spl;src/lib/nogc_sync_mut/database/atomic.spl;src/lib/nogc_sync_mut/db_atomic.spl;test/02_integration/lib/persistence_intensive_spec.spl;test/integration/lib/persistence_intensive_spec.spl
atomic_write	public function	mixed	src=4 test=2	src/lib/nogc_async_mut/db_atomic.spl;src/lib/nogc_sync_mut/database/atomic.spl;src/lib/nogc_sync_mut/db_atomic.spl;src/lib/nogc_sync_mut/src/infra.spl;test/02_integration/lib/persistence_intensive_spec.spl;test/integration/lib/persistence_intensive_spec.spl
be_dom_find_by_id	public function	src-only	src=2 test=0	src/lib/gc_async_mut/gpu/browser_engine/dom.spl;src/lib/gc_async_mut/gpu/browser_engine/dom_accessors.spl
byte_to_hex	public function	mixed	src=5 test=4	src/compiler_rust/lib/std/src/tooling/color_utils.spl;src/lib/common/aes/utilities.spl;src/lib/common/binary_inspect.spl;src/lib/common/spec/evidence/format/binary_layout.spl;src/lib/nogc_sync_mut/tls/_TlsUtilities/hex_encoding.spl;test/03_system/feature/compiler/mir_builder_spec.spl;test/03_system/feature/compiler/mir_complex_spec.spl;test/03_system/feature/compiler/mir_native_spec.spl
