symbol	class	scoped_callsites	declaring_file
path_join	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
path_normalize	DEAD_DECLARATION	0	src/lib/nogc_async_mut/fs.spl
path_parent	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
path_stem	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
path_with_extension	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
pmm_alloc_page_raw	SHADOWED_BY_SPL_FN	3	src/os/kernel/loader/x86_64_fs_exec_ring3.spl
promise_alloc	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
promise_complete	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
promise_free	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
promise_get_future	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
promise_is_completed	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
ptr_add	GENUINELY_MISSING	6	src/lib/gc_async_mut/gc.spl
ptr_const_i32	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_const_i64	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_const_u16	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_const_u32	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_const_u64	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_const_u8	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mixed_cmp	DEAD_DECLARATION	0	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mixed_copy	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mixed_set	DEAD_DECLARATION	0	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_multi_const	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_multi_mixed	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_multi_mut	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mut_u16	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mut_u32	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mut_u64	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_mut_u8	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_plain	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_plain_wide	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_ret_const	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_ret_mut	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_strlen	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
ptr_sub	GENUINELY_MISSING	6	src/lib/gc_async_mut/gc.spl
ptr_to_i64	GENUINELY_MISSING	3	src/lib/gc_async_mut/runtime_value.spl
ptr_with_regular	GENUINELY_MISSING	1	test/01_unit/bugs/parser_const_pointer_spec.spl
read_header	SHADOWED_BY_SPL_FN	9	src/lib/gc_async_mut/gc.spl
read_i64	SHADOWED_BY_SPL_FN	4	src/lib/gc_async_mut/gc.spl
register_array	SHADOWED_BY_SPL_FN	4	src/runtime/simple_core/core_array_ops.spl
rt_aarch64_wfe_spin	GENUINELY_MISSING	2	src/os/kernel/boot/limine_boot_aarch64.spl
rt_aes_gcm_decrypt_hex	c_runtime_source_only	1	src/lib/nogc_async_mut/io/quic/quic_crypto.spl
rt_aes_gcm_encrypt_hex	c_runtime_source_only	0	src/lib/nogc_async_mut/io/quic/quic_crypto.spl
rt_alloc_exec_memory	DEAD_DECLARATION	0	src/compiler/90.tools/sffi_gen/specs/exec_memory.spl
rt_alloc_page_aligned	GENUINELY_MISSING	1	src/os/drivers/virtio/virtio_gpu.spl
rt_alloc_rw_memory	GENUINELY_MISSING	1	src/compiler/90.tools/sffi_gen/specs/exec_memory.spl
rt_alloc_zeroed	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/alloc/sffi.spl
rt_args_all	GENUINELY_MISSING	4	src/compiler_rust/lib/std/src/sys/args.spl
rt_args_count	GENUINELY_MISSING	3	src/compiler_rust/lib/std/src/sys/args.spl
rt_args_get	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/sys/args.spl
rt_arm32_context_restore	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/context.spl
rt_arm32_context_save	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/context.spl
rt_arm32_context_switch	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/context.spl
rt_arm32_cpsid_f	DEAD_DECLARATION	0	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_cpsid_i	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_cpsid_if	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_cpsie_f	DEAD_DECLARATION	0	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_cpsie_i	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_cpsie_if	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_dmb	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_dsb	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_enter_user_first	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/user_entry.spl
rt_arm32_exec_reap	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/user_entry.spl
rt_arm32_exec_token_install	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/user_entry.spl
rt_arm32_isb	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_cntp_ctl	GENUINELY_MISSING	5	src/os/kernel/arch/arm32/timer.spl
rt_arm32_mcr_cntp_tval	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/timer.spl
rt_arm32_mcr_dacr	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_sctlr	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_tlbiall	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_tlbimva	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_ttbcr	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_ttbr0	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
rt_arm32_mcr_ttbr1	GENUINELY_MISSING	1	src/os/kernel/arch/arm32/cpu.spl
